precio,expensas,direccion,superficie,dormitorios,banos,antiguedad,ambientes,fuente,ciudad,valor_total,superficie_imputada,precio_m2,superficie_rango,banos_imputado
450000.0,70000.0,"61 700, Piso 2",50,1,1,0,,argenprop,Buenos Aires,520000,False,9000.0,"(42.0, 53.5]",True
550000.0,70000.0,"37 1500, Piso 1",65,2,1,8,,argenprop,Buenos Aires,620000,False,8461.54,"(53.5, 71.0]",True
420000.0,50000.0,ALQUILER DEPARTAMENTO 1 DORMITORIO ZONA PARQUE CASTELLI,42,1,1,20,,argenprop,Buenos Aires,470000,False,10000.0,"(22.999, 42.0]",True
350000.0,0.0,49 400,35,,1,20,,argenprop,Buenos Aires,350000,False,10000.0,"(22.999, 42.0]",False
420000.0,50000.0,ZONA FACULTADES DIAG 113 Y 64,45,1,1,15,,argenprop,Buenos Aires,470000,False,9333.33,"(42.0, 53.5]",True
320000.0,52000.0,"66 100, Piso 2",30,1,1,20,,argenprop,Buenos Aires,372000,False,10666.67,"(22.999, 42.0]",True
490000.0,63000.0,"24 1300, Piso 1",45,1,1,15,,argenprop,Buenos Aires,553000,False,10888.89,"(42.0, 53.5]",True
800000.0,75000.0,7 esquina 51,80,3,1,80,,argenprop,Buenos Aires,875000,True,10000.0,"(71.0, 300.0]",False
450000.0,0.0,56  e 13 y 14 900,46,1,1,,2,argenprop,Buenos Aires,450000,True,9782.61,"(42.0, 53.5]",False
450000.0,0.0,21 e/ 47 y 48 700,46,1,1,30,,argenprop,Buenos Aires,450000,True,9782.61,"(42.0, 53.5]",False
583000.0,70000.0,26 e/ 38 y 39,42,1,1,8,,argenprop,Buenos Aires,653000,False,13880.95,"(22.999, 42.0]",True
380000.0,0.0,"49 entre 136 y 137 2000, Piso 1",46,1,1,24,,argenprop,Buenos Aires,380000,True,8260.87,"(42.0, 53.5]",False
700000.0,75000.0,46 e/ 10 Y 11,58,2,1,18,,argenprop,Buenos Aires,775000,False,12068.97,"(53.5, 71.0]",True
430000.0,100000.0,39 e/ 11 y 12,40,1,1,5,,argenprop,Buenos Aires,530000,False,10750.0,"(22.999, 42.0]",True
520000.0,70000.0,Calle 56 3 y 4,60,1,1,12,,argenprop,Buenos Aires,590000,False,8666.67,"(53.5, 71.0]",True
600000.0,0.0,9 e/ 47 y 48,65,2,1,0,,argenprop,Buenos Aires,600000,False,9230.77,"(53.5, 71.0]",True
350000.0,0.0,Calle 69 300,45,1,1,0,,argenprop,Buenos Aires,350000,False,7777.78,"(42.0, 53.5]",True
500000.0,0.0,55 y 8,58,2,1,,3,argenprop,Buenos Aires,500000,True,8620.69,"(53.5, 71.0]",False
580000.0,0.0,Calle 69 300,70,2,1,0,,argenprop,Buenos Aires,580000,False,8285.71,"(53.5, 71.0]",True
320000.0,45000.0,4 al 1100,27,,1,40,,argenprop,Buenos Aires,365000,False,11851.85,"(22.999, 42.0]",False
420000.0,45000.0,57 entre 17 y 18,45,1,1,0,,argenprop,Buenos Aires,465000,False,9333.33,"(42.0, 53.5]",True
400000.0,0.0,Calle 41 entre Av. 19 y Calle,58,2,1,,3,argenprop,Buenos Aires,400000,True,6896.55,"(53.5, 71.0]",False
430000.0,85000.0,"Calle 55 400, Piso 14",41,1,1,40,,argenprop,Buenos Aires,515000,False,10487.8,"(22.999, 42.0]",True
570000.0,0.0,"19 300, Piso 8",38,,,,,argenprop,Buenos Aires,570000,False,15000.0,"(22.999, 42.0]",False
480000.0,0.0,"CALLE 6 35 Y 36 200, Piso P.B",55,2,1,40,,argenprop,Buenos Aires,480000,False,8727.27,"(53.5, 71.0]",True
370000.0,0.0,Calle 14 entre 45 y 46,58,2,1,,3,argenprop,Buenos Aires,370000,True,6379.31,"(53.5, 71.0]",False
420000.0,65000.0,"61 500, Piso 1",46,1,1,12,,argenprop,Buenos Aires,485000,True,9130.43,"(42.0, 53.5]",False
380000.0,80000.0,48 600,46,1,1,30,,argenprop,Buenos Aires,460000,True,8260.87,"(42.0, 53.5]",False
420000.0,80000.0,"7 entre 41y42 600, Piso 9",46,1,1,,2,argenprop,Buenos Aires,500000,True,9130.43,"(42.0, 53.5]",False
330000.0,0.0,"Calle 26 1200, Piso 1",46,1,1,,2,argenprop,Buenos Aires,330000,True,7173.91,"(42.0, 53.5]",False
450000.0,0.0,Calle 45 e/ 22 y 23,46,1,1,25,,argenprop,Buenos Aires,450000,True,9782.61,"(42.0, 53.5]",False
450000.0,65000.0,54 800,58,2,1,30,,argenprop,Buenos Aires,515000,True,7758.62,"(53.5, 71.0]",False
490000.0,70000.0,"5 Y 57 , Piso 1",58,2,1,30,,argenprop,Buenos Aires,560000,True,8448.28,"(53.5, 71.0]",False
370000.0,43000.0,14 e/ 57 y 58,35,,1,0,,argenprop,Buenos Aires,413000,False,10571.43,"(22.999, 42.0]",False
340500.0,100000.0,22 e/ 44 y 45,30,,1,5,,argenprop,Buenos Aires,440500,False,11350.0,"(22.999, 42.0]",False
520000.0,0.0,Plaza Italia y Diagonal 74,67,1,1,20,,argenprop,Buenos Aires,520000,False,7761.19,"(53.5, 71.0]",True
650000.0,60000.0,Plaza Matheu 100,75,2,2,5,,argenprop,Buenos Aires,710000,False,8666.67,"(71.0, 300.0]",True
700000.0,15000.0,"49 500, Piso PB",80,3,1,80,,argenprop,Buenos Aires,715000,True,8750.0,"(71.0, 300.0]",False
750000.0,130000.0,Roque Saenz PeÑa 200,58,2,1,,3,argenprop,Chaco,880000,True,12931.03,"(53.5, 71.0]",False
320000.0,0.0,2 DE FEBRERO DE 1982 100,80,3,1,,3,argenprop,Chaco,320000,True,4000.0,"(71.0, 300.0]",False
250000.0,40000.0,"Juan Domingo Perón 1500, Piso 2",46,1,1,,2,argenprop,Chaco,290000,True,5434.78,"(42.0, 53.5]",False
420000.0,80000.0,"Av. Piacentini 1100, Piso 2",80,3,2,17,,argenprop,Chaco,500000,False,5250.0,"(71.0, 300.0]",True
260000.0,18000.0,Seitor 1600,30,1,1,,,argenprop,Chaco,278000,False,8666.67,"(22.999, 42.0]",False
700000.0,0.0,"Mitre 700, Piso 1",87,3,2,,4,argenprop,Chaco,700000,True,8045.98,"(71.0, 300.0]",False
300000.0,30000.0,"Ameghino 2100, Piso 1",30,1,1,,,argenprop,Chaco,330000,False,10000.0,"(22.999, 42.0]",False
650000.0,0.0,"Necochea 200, Piso 1",80,2,2,20,,argenprop,Chaco,650000,False,8125.0,"(71.0, 300.0]",True
600000.0,50000.0,"MONTEAGUDO 1000, Piso PB",65,3,2,20,,argenprop,Chaco,650000,False,9230.77,"(53.5, 71.0]",True
350000.0,0.0,Pasaje Lopez Piacentini 1200,58,2,1,,3,argenprop,Chaco,350000,True,6034.48,"(53.5, 71.0]",False
700000.0,130000.0,"LA RIOJA 100, Piso 10",87,3,2,,4,argenprop,Chaco,830000,True,8045.98,"(71.0, 300.0]",False
260000.0,50000.0,"NECOCHEA 1200, Piso 3",35,1,1,10,,argenprop,Chaco,310000,False,7428.57,"(22.999, 42.0]",True
750000.0,150000.0,"Mendoza 400, Piso 9",110,3,2,30,,argenprop,Chaco,900000,False,6818.18,"(71.0, 300.0]",True
430000.0,0.0,Av Piacentini 1100,80,3,1,,,argenprop,Chaco,430000,False,5375.0,"(71.0, 300.0]",False
350000.0,55000.0,Roldan  al 400,36,1,1,6,,argenprop,Chaco,405000,False,9722.22,"(22.999, 42.0]",True
420000.0,0.0,"DONOVAN 1200, Piso P.B.",70,2,1,,,argenprop,Chaco,420000,False,6000.0,"(53.5, 71.0]",False
500000.0,0.0,"JULIO A ROCA 700, Piso P.B.",55,2,2,,,argenprop,Chaco,500000,False,9090.91,"(53.5, 71.0]",False
400000.0,60000.0,"ILLIA ARTURO 600, Piso 1",70,2,1,35,,argenprop,Chaco,460000,False,5714.29,"(53.5, 71.0]",True
320000.0,5000.0,"JUSTO JUAN B. 1600, Piso 1",40,1,1,,,argenprop,Chaco,325000,False,8000.0,"(22.999, 42.0]",False
250000.0,30000.0,"PADRE CERQUEIRA 600, Piso 1",40,1,1,,,argenprop,Chaco,280000,False,6250.0,"(22.999, 42.0]",False
320000.0,50000.0,"FRANKLIN 700, Piso 1",30,1,1,15,,argenprop,Chaco,370000,False,10666.67,"(22.999, 42.0]",True
320000.0,70000.0,"SAN LORENZO 1300, Piso 2",40,1,1,,,argenprop,Chaco,390000,False,8000.0,"(22.999, 42.0]",False
450000.0,170000.0,"GARCIA MEROU 200, Piso 1",80,3,2,,4,argenprop,Chaco,620000,False,5625.0,"(71.0, 300.0]",True
450000.0,70000.0,"LOPEZ PIACENTINI 1100, Piso 1",55,2,1,,,argenprop,Chaco,520000,False,8181.82,"(53.5, 71.0]",False
350000.0,30000.0,"LAS HERAS 300, Piso 2",40,1,1,,,argenprop,Chaco,380000,False,8750.0,"(22.999, 42.0]",False
380000.0,0.0,Fray Capelli 100,46,1,1,,2,argenprop,Chaco,380000,True,8260.87,"(42.0, 53.5]",False
580000.0,50000.0,"PUEYRREDON 400, Piso 3",70,3,2,,,argenprop,Chaco,630000,False,8285.71,"(53.5, 71.0]",False
420000.0,30000.0,"AV. MORENO 200, Piso 1",45,1,1,,,argenprop,Chaco,450000,False,9333.33,"(42.0, 53.5]",False
580000.0,160000.0,"Pueyrredón 400, Piso 2",60,2,1,,,argenprop,Chaco,740000,False,9666.67,"(53.5, 71.0]",False
420000.0,40000.0,"PADRE CERQUEIRA 600, Piso P.B.",55,2,1,,3,argenprop,Chaco,460000,False,7636.36,"(53.5, 71.0]",True
250000.0,27000.0,"CERQUEIRA P. 600, Piso 1",38,1,1,,,argenprop,Chaco,277000,False,6578.95,"(22.999, 42.0]",False
450000.0,30000.0,"MONTEAGUDO 1300, Piso 2",40,1,1,,,argenprop,Chaco,480000,False,11250.0,"(22.999, 42.0]",False
420000.0,30000.0,"MONTEAGUDO 1300, Piso 2",40,1,1,,,argenprop,Chaco,450000,False,10500.0,"(22.999, 42.0]",False
780000.0,70000.0,"Concepción del Bermejo 100, Piso 2",75,2,2,,,argenprop,Chaco,850000,False,10400.0,"(71.0, 300.0]",False
700000.0,0.0,Mitre 700,87,3,2,,4,argenprop,Chaco,700000,True,8045.98,"(71.0, 300.0]",False
380000.0,27200.0,San Lorenzo al 1400,40,1,1,0,,argenprop,Chaco,407200,False,9500.0,"(22.999, 42.0]",True
280000.0,0.0,"Donovan 600, Piso 1",46,1,1,,2,argenprop,Chaco,280000,True,6086.96,"(42.0, 53.5]",False
400000.0,55000.0,"Juan B Justo 100, Piso 3",46,1,1,25,,argenprop,Chaco,455000,True,8695.65,"(42.0, 53.5]",False
380000.0,45000.0,OBISPO SALGUERO 100,46,1,1,,2,argenprop,Cordoba,425000,True,8260.87,"(42.0, 53.5]",False
550000.0,105000.0,"Independencia 300, Piso 7",45,1,1,10,,argenprop,Cordoba,655000,False,12222.22,"(42.0, 53.5]",True
500000.0,100000.0,"Avenida Marcelo T. De Alvear 900, Piso PB",46,1,1,,,argenprop,Cordoba,600000,True,10869.57,"(42.0, 53.5]",False
350000.0,0.0,Fructuoso Rivera 1000,40,1,1,,,argenprop,Cordoba,350000,False,8750.0,"(22.999, 42.0]",True
