Precio,Expensas,Direccion,Superficie,Dormitorios,Banos,Antiguedad,Ambientes,Fuente,ciudad
450000,70000,"61 700, Piso 2",50  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
550000,70000,"37 1500, Piso 1",65  m² cubie.,2 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
420000,50000,ALQUILER DEPARTAMENTO 1 DORMITORIO ZONA PARQUE CASTELLI,42  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
420000,50000,ZONA FACULTADES DIAG 113 Y 64,45  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
460000,92000,"11 entre 43 y 44 , Piso 14",37  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
320000,52000,"66 100, Piso 2",30  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
490000,63000,"24 1300, Piso 1",45  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
500000,32000,45 entre 17 y 18,No disponible,1 dorm.,1 baño,10 años,No disponible,argenprop,Buenos Aires
800000,75000,7 esquina 51,No disponible,3 dorm.,1 baño,80 años,No disponible,argenprop,Buenos Aires
430000,45000,62 al 800,45  m² cubie.,1 dorm.,No disponible,4 años,No disponible,argenprop,Buenos Aires
450000,No disponible,56  e 13 y 14 900,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
500000,No disponible,24 e/47 y 48 N°795 700,56  m² cubie.,2 dorm.,No disponible,35 años,No disponible,argenprop,Buenos Aires
450000,No disponible,21 e/ 47 y 48 700,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
400000,No disponible,23 e/44 y 45,No disponible,1 dorm.,1 baño,18 años,No disponible,argenprop,Buenos Aires
380000,No disponible,63 y 21,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
583000,70000,26 e/ 38 y 39,42  m² cubie.,1 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
570000,No disponible,"1 entre 68y69 1700, Piso PB",No disponible,2 dorm.,No disponible,50 años,3 ambientes,argenprop,Buenos Aires
700000,75000,46 e/ 10 Y 11,58  m² cubie.,2 dorm.,No disponible,18 años,No disponible,argenprop,Buenos Aires
550000,45000,"60 Entre 15 Y 16 , Piso 8",No disponible,1 dorm.,1 baño,12 años,No disponible,argenprop,Buenos Aires
350000,No disponible,"Calle 34 1300, Piso 1",40  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
360000,94000,11 e/ 38 y 39,32  m² cubie.,No disponible,1 baño,a estrenar,No disponible,argenprop,Buenos Aires
460000,100000,39 e/ 11 y 12,40  m² cubie.,1 dorm.,No disponible,5 años,No disponible,argenprop,Buenos Aires
520000,70000,Calle 56 3 y 4,60  m² cubie.,1 dorm.,No disponible,12 años,No disponible,argenprop,Buenos Aires
400000,No disponible,"49 entre 136 y 137 2000, Piso 1",No disponible,No disponible,No disponible,30 años,No disponible,argenprop,Buenos Aires
600000,No disponible,9 e/ 47 y 48,65  m² cubie.,2 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
530000,No disponible,19 y 71,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
400000,No disponible,Calle 69 300,45  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
300000,50000,Calle 11 1200,21  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
650000,No disponible,Calle 69 300,70  m² cubie.,2 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
600000,130000,55 500,No disponible,No disponible,No disponible,40 años,No disponible,argenprop,Buenos Aires
320000,45000,4 al 1100,27  m² cubie.,No disponible,1 baño,40 años,No disponible,argenprop,Buenos Aires
420000,45000,57 entre 17 y 18,45  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
400000,No disponible,Calle 41 entre Av. 19 y Calle,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
430000,85000,"Calle 55 400, Piso 14",41  m² cubie.,1 dorm.,No disponible,40 años,No disponible,argenprop,Buenos Aires
350000,No disponible,Plaza Paso,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
570000,No disponible,"19 300, Piso 8",38  m² cubie.,No disponible,No disponible,No disponible,No disponible,argenprop,Buenos Aires
480000,No disponible,"CALLE 6 35 Y 36 200, Piso P.B",55  m² cubie.,2 dorm.,No disponible,40 años,No disponible,argenprop,Buenos Aires
380000,No disponible,Diagonal 73 entre 24 y 40,No disponible,1 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
370000,No disponible,Calle 14 entre 45 y 46,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
480000,No disponible,"56 100, Piso 5",No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Buenos Aires
420000,65000,"61 500, Piso 1",No disponible,1 dorm.,1 baño,12 años,No disponible,argenprop,Buenos Aires
No disponible,No disponible,"58 700, Piso PB",No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
380000,80000,48 600,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
No disponible,No disponible,6 e/32 y 33,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
370000,68000,"Calle 115 1600, Piso 4",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
330000,No disponible,"Calle 26 1200, Piso 1",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
450000,No disponible,Calle 45 e/ 22 y 23,No disponible,1 dorm.,1 baño,25 años,No disponible,argenprop,Buenos Aires
440000,68000,Calle 12 44 y 45 al 623,32  m² cubie.,No disponible,1 baño,3 años,No disponible,argenprop,Buenos Aires
370000,31000,14 e/ 57 y 58,35  m² cubie.,No disponible,1 baño,a estrenar,No disponible,argenprop,Buenos Aires
340500,100000,22 e/ 44 y 45,30  m² cubie.,No disponible,1 baño,5 años,No disponible,argenprop,Buenos Aires
350000,No disponible,Arbo y Blanco 1100,No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Chaco
300000,30000,"Colon 1400, Piso 2",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Chaco
500000,No disponible,AVENIDA HERNADARIAS 1900,No disponible,2 dorm.,No disponible,No disponible,3 ambientes,argenprop,Chaco
320000,No disponible,2 DE FEBRERO DE 1982 100,No disponible,3 dorm.,1 baño,No disponible,3 ambientes,argenprop,Chaco
420000,No disponible,NECOCHEA 500,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Chaco
290000,50000,EDISON 800,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Chaco
800000,130000,Roque Saenz PeÑa 200,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Chaco
500000,No disponible,NECOCHEA 500,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Chaco
650000,No disponible,"Necochea 200, Piso 1",80  m² cubie.,2 dorm.,No disponible,20 años,No disponible,argenprop,Chaco
260000,18000,Seitor 1600,30  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
700000,No disponible,"Mitre 700, Piso 1",No disponible,3 dorm.,2 baños,No disponible,4 ambientes,argenprop,Chaco
300000,30000,"Ameghino 2100, Piso 1",30  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
650000,250000,"SALTA 300, Piso 4",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Chaco
600000,50000,"MONTEAGUDO 1000, Piso PB",65  m² cubie.,3 dorm.,No disponible,20 años,No disponible,argenprop,Chaco
180000,No disponible,"Libertador 1700, Piso 2",No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Chaco
280000,No disponible,Fortín Loma Negra 100,45  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
700000,130000,"LA RIOJA 100, Piso 10",No disponible,3 dorm.,2 baños,No disponible,4 ambientes,argenprop,Chaco
260000,50000,"NECOCHEA 1200, Piso 3",35  m² cubie.,1 dorm.,No disponible,10 años,No disponible,argenprop,Chaco
150000,No disponible,Lisandro de la Torre 2500,No disponible,No disponible,No disponible,10 años,No disponible,argenprop,Chaco
450000,No disponible,"AV. BELGRANO 200, Piso 1",No disponible,2 dorm.,1 baño,40 años,No disponible,argenprop,Chaco
850000,150000,"Mendoza 400, Piso 9",110  m² cubie.,3 dorm.,No disponible,30 años,No disponible,argenprop,Chaco
270000,No disponible,Pasaje arturo lestani 1100,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Chaco
350000,55000,Roldan  al 400,36  m² cubie.,1 dorm.,No disponible,6 años,No disponible,argenprop,Chaco
170000,No disponible,"Pasaje Caracas 100, Piso 1",No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Chaco
420000,No disponible,"DONOVAN 1200, Piso P.B.",70  m² cubie.,2 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
500000,No disponible,"JULIO A ROCA 700, Piso P.B.",55  m² cubie.,2 dorm.,2 baños,No disponible,No disponible,argenprop,Chaco
500000,No disponible,"JULIO A ROCA 700, Piso P.B.",55  m² cubie.,2 dorm.,2 baños,No disponible,No disponible,argenprop,Chaco
250000,No disponible,Obligado 500,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Chaco
400000,60000,"ILLIA ARTURO 600, Piso 1",70  m² cubie.,2 dorm.,No disponible,35 años,No disponible,argenprop,Chaco
320000,5000,"JUSTO JUAN B. 1600, Piso 1",40  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
250000,30000,"PADRE CERQUEIRA 600, Piso 1",40  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
320000,50000,"FRANKLIN 700, Piso 1",30  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Chaco
450000,No disponible,"9 DE JULIO 1200, Piso 1",60  m² cubie.,2 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
320000,70000,"SAN LORENZO 1300, Piso 2",40  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
450000,170000,"GARCIA MEROU 200, Piso 1",80  m² cubie.,3 dorm.,No disponible,No disponible,4 ambientes,argenprop,Chaco
450000,70000,"LOPEZ PIACENTINI 1100, Piso 1",55  m² cubie.,2 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
350000,30000,"LAS HERAS 300, Piso 2",40  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
250000,No disponible,Jose Maria Paz 900,No disponible,1 dorm.,No disponible,No disponible,2 ambientes,argenprop,Chaco
450000,100000,Fray Capelli 100,45  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
450000,100000,Fray Capelli 100,1  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Chaco
350000,No disponible,Barrio Guiraldes,No disponible,2 dorm.,No disponible,No disponible,3 ambientes,argenprop,Chaco
