Precio,Expensas,Direccion,Superficie,Dormitorios,Banos,Antiguedad,Ambientes,Fuente,ciudad
507320,No disponible,60 300,No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Corrientes
864750,No disponible,Departamento  en alquiler temporario en 38 entre 5 y 6,56  m² cubie.,1 dorm.,No disponible,A Estrenar,No disponible,argenprop,Corrientes
634150,100000,44 Esq. 14,50  m² cubie.,1 dorm.,No disponible,12 años,No disponible,argenprop,Corrientes
1153000,160000,48 esquina 6,150  m² cubie.,4 dorm.,No disponible,5 años,No disponible,argenprop,Corrientes
749450,No disponible,Calle 56 esquina 30,75  m² cubie.,2 dorm.,No disponible,A Estrenar,No disponible,argenprop,Corrientes
1383600,No disponible,"466 ENTRE 15A Y 17 100, Piso 0",119  m² cubie.,2 dorm.,No disponible,2025 años,No disponible,argenprop,Corrientes
807100,80000,Calle 25 esquina 49,70  m² cubie.,2 dorm.,No disponible,A Estrenar,No disponible,argenprop,Corrientes
230600,No disponible,Av 7 entre 34 y 35 100,296  m² cubie.,2 dorm.,No disponible,2 años,No disponible,argenprop,Corrientes
576500,No disponible,38,35  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Corrientes
74945000,60000,"56 esquina diagonal 79 400, Piso 5",No disponible,2 dorm.,1 baño,2025 años,No disponible,argenprop,Corrientes
576500,80000,"13 entre 33 y 34 , Piso 5",35  m² cubie.,No disponible,1 baño,10 años,No disponible,argenprop,Corrientes
449670,25000,Av. 60 y calle 12,43  m² cubie.,1 dorm.,No disponible,40 años,No disponible,argenprop,Corrientes
864750,No disponible,19 y 44 - Pza Azcuénaga 100,50  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Corrientes
518850,40000,12 100,47  m² cubie.,1 dorm.,No disponible,9 años,No disponible,argenprop,Corrientes
2075400,No disponible,"47 e 12 y 13 800, Piso 3",147  m² cubie.,3 dorm.,No disponible,2025 años,No disponible,argenprop,Corrientes
1729500,178000,Avenida 7 300,122  m² cubie.,3 dorm.,No disponible,4 años,No disponible,argenprop,Corrientes
518850,80000,Calle 8 500,53  m² cubie.,1 dorm.,No disponible,2 años,No disponible,argenprop,Corrientes
